id,WorkDatasetSize,WorkMethodsFrequency,Frequency
2518,NA,NeuralNetworks,NA
2519,NA,NeuralNetworks,NA
2520,10GB,NeuralNetworks,Often
2521,NA,NeuralNetworks,NA
2522,100MB,NeuralNetworks,NA
2523,10GB,NeuralNetworks,NA
2524,NA,NeuralNetworks,NA
2525,NA,NeuralNetworks,NA
2526,1GB,NeuralNetworks,NA
2527,NA,NeuralNetworks,NA
2528,1TB,NeuralNetworks,NA
2529,10MB,NeuralNetworks,NA
2530,1TB,NeuralNetworks,NA
2531,NA,NeuralNetworks,NA
2532,NA,NeuralNetworks,NA
2533,<1MB,NeuralNetworks,NA
2534,NA,NeuralNetworks,NA
2535,NA,NeuralNetworks,NA
2536,NA,NeuralNetworks,Often
2537,1MB,NeuralNetworks,NA
2538,NA,NeuralNetworks,NA
2539,NA,NeuralNetworks,NA
2540,NA,NeuralNetworks,NA
2541,NA,NeuralNetworks,NA
2542,NA,NeuralNetworks,NA
2543,1PB,NeuralNetworks,NA
2544,NA,NeuralNetworks,NA
2545,NA,NeuralNetworks,NA
2546,100TB,NeuralNetworks,NA
2547,NA,NeuralNetworks,NA
2548,10GB,NeuralNetworks,NA
2549,10GB,NeuralNetworks,NA
2550,10MB,NeuralNetworks,NA
2551,10GB,NeuralNetworks,NA
2552,NA,NeuralNetworks,NA
2553,10GB,NeuralNetworks,NA
2554,NA,NeuralNetworks,NA
2555,NA,NeuralNetworks,NA
2556,10GB,NeuralNetworks,NA
2557,NA,NeuralNetworks,NA
2558,NA,NeuralNetworks,NA
2559,NA,NeuralNetworks,NA
2560,100GB,NeuralNetworks,NA
2561,NA,NeuralNetworks,NA
2562,NA,NeuralNetworks,NA
2563,1TB,NeuralNetworks,Sometimes
2564,NA,NeuralNetworks,NA
2565,NA,NeuralNetworks,NA
2566,NA,NeuralNetworks,NA
2567,NA,NeuralNetworks,NA
2568,NA,NeuralNetworks,NA
2569,NA,NeuralNetworks,NA
2570,NA,NeuralNetworks,NA
2571,NA,NeuralNetworks,NA
2572,NA,NeuralNetworks,NA
2573,NA,NeuralNetworks,NA
2574,NA,NeuralNetworks,NA
2575,NA,NeuralNetworks,NA
2576,NA,NeuralNetworks,NA
2577,10GB,NeuralNetworks,Sometimes
2578,100MB,NeuralNetworks,NA
2579,1GB,NeuralNetworks,NA
2580,NA,NeuralNetworks,NA
2581,NA,NeuralNetworks,NA
2582,10GB,NeuralNetworks,Most of the time
2583,NA,NeuralNetworks,NA
2584,1TB,NeuralNetworks,NA
2585,NA,NeuralNetworks,NA
2586,NA,NeuralNetworks,NA
2587,NA,NeuralNetworks,NA
2588,NA,NeuralNetworks,NA
2589,1GB,NeuralNetworks,Sometimes
2590,NA,NeuralNetworks,NA
2591,NA,NeuralNetworks,NA
2592,10GB,NeuralNetworks,Most of the time
2593,10MB,NeuralNetworks,NA
2594,100GB,NeuralNetworks,NA
2595,NA,NeuralNetworks,NA
2596,NA,NeuralNetworks,NA
2597,NA,NeuralNetworks,NA
2598,NA,NeuralNetworks,NA
2599,10GB,NeuralNetworks,Most of the time
2600,NA,NeuralNetworks,NA
2601,10GB,NeuralNetworks,NA
2602,100GB,NeuralNetworks,NA
2603,NA,NeuralNetworks,NA
2604,NA,NeuralNetworks,NA
2605,NA,NeuralNetworks,NA
2606,NA,NeuralNetworks,NA
2607,NA,NeuralNetworks,NA
2608,NA,NeuralNetworks,NA
2609,NA,NeuralNetworks,NA
2610,NA,NeuralNetworks,NA
2611,10TB,NeuralNetworks,NA
2612,NA,NeuralNetworks,NA
2613,1GB,NeuralNetworks,NA
2614,1GB,NeuralNetworks,Sometimes
2615,NA,NeuralNetworks,NA
2616,1GB,NeuralNetworks,NA
2617,1GB,NeuralNetworks,NA
2618,NA,NeuralNetworks,NA
2619,100MB,NeuralNetworks,NA
2620,NA,NeuralNetworks,NA
2621,1GB,NeuralNetworks,NA
2622,NA,NeuralNetworks,NA
2623,10MB,NeuralNetworks,Often
2624,NA,NeuralNetworks,NA
2625,NA,NeuralNetworks,NA
2626,NA,NeuralNetworks,NA
2627,NA,NeuralNetworks,NA
2628,NA,NeuralNetworks,NA
2629,100GB,NeuralNetworks,NA
2630,NA,NeuralNetworks,NA
2631,100MB,NeuralNetworks,NA
2632,100TB,NeuralNetworks,Often
2633,NA,NeuralNetworks,NA
2634,10MB,NeuralNetworks,NA
2635,10GB,NeuralNetworks,Often
2636,1GB,NeuralNetworks,Most of the time
2637,NA,NeuralNetworks,NA
2638,NA,NeuralNetworks,NA
2639,NA,NeuralNetworks,NA
2640,1GB,NeuralNetworks,NA
2641,NA,NeuralNetworks,NA
2642,NA,NeuralNetworks,NA
2643,NA,NeuralNetworks,NA
2644,100MB,NeuralNetworks,NA
2645,1MB,NeuralNetworks,Sometimes
2646,NA,NeuralNetworks,NA
2647,NA,NeuralNetworks,NA
2648,100MB,NeuralNetworks,NA
2649,NA,NeuralNetworks,NA
2650,100MB,NeuralNetworks,NA
2651,10MB,NeuralNetworks,NA
2652,NA,NeuralNetworks,NA
2653,NA,NeuralNetworks,Sometimes
2654,NA,NeuralNetworks,NA
2655,1GB,NeuralNetworks,NA
2656,100MB,NeuralNetworks,NA
2657,NA,NeuralNetworks,NA
2658,NA,NeuralNetworks,NA
2659,NA,NeuralNetworks,NA
2660,10GB,NeuralNetworks,NA
2661,10GB,NeuralNetworks,Most of the time
2662,NA,NeuralNetworks,NA
2663,NA,NeuralNetworks,NA
2664,NA,NeuralNetworks,NA
2665,1MB,NeuralNetworks,NA
2666,1TB,NeuralNetworks,NA
2667,NA,NeuralNetworks,NA
2668,1GB,NeuralNetworks,Most of the time
2669,100TB,NeuralNetworks,NA
2670,1GB,NeuralNetworks,NA
2671,NA,NeuralNetworks,NA
2672,NA,NeuralNetworks,NA
2673,10GB,NeuralNetworks,NA
2674,100MB,NeuralNetworks,NA
2675,NA,NeuralNetworks,NA
2676,NA,NeuralNetworks,NA
2677,100MB,NeuralNetworks,NA
2678,NA,NeuralNetworks,NA
2679,1GB,NeuralNetworks,NA
2680,10MB,NeuralNetworks,NA
2681,1GB,NeuralNetworks,NA
2682,NA,NeuralNetworks,NA
2683,NA,NeuralNetworks,NA
2684,10GB,NeuralNetworks,NA
2685,100MB,NeuralNetworks,NA
2686,NA,NeuralNetworks,NA
2687,100MB,NeuralNetworks,NA
2688,100GB,NeuralNetworks,Often
2689,NA,NeuralNetworks,NA
2690,NA,NeuralNetworks,NA
2691,1GB,NeuralNetworks,NA
2692,>1EB,NeuralNetworks,Most of the time
2693,100GB,NeuralNetworks,NA
2694,100MB,NeuralNetworks,Sometimes
2695,100GB,NeuralNetworks,Often
2696,1GB,NeuralNetworks,NA
2697,NA,NeuralNetworks,NA
2698,1TB,NeuralNetworks,Most of the time
2699,100MB,NeuralNetworks,NA
2700,NA,NeuralNetworks,NA
2701,NA,NeuralNetworks,NA
2702,NA,NeuralNetworks,NA
2703,NA,NeuralNetworks,NA
2704,NA,NeuralNetworks,NA
2705,10TB,NeuralNetworks,NA
2706,NA,NeuralNetworks,NA
2707,NA,NeuralNetworks,NA
2708,NA,NeuralNetworks,NA
2709,100MB,NeuralNetworks,NA
2710,100MB,NeuralNetworks,NA
2711,<1MB,NeuralNetworks,NA
2712,NA,NeuralNetworks,NA
2713,100TB,NeuralNetworks,NA
2714,NA,NeuralNetworks,NA
2715,NA,NeuralNetworks,NA
2716,10GB,NeuralNetworks,NA
2717,100MB,NeuralNetworks,NA
2718,NA,NeuralNetworks,NA
2719,1GB,NeuralNetworks,NA
2720,1MB,NeuralNetworks,NA
2721,1PB,NeuralNetworks,Sometimes
2722,NA,NeuralNetworks,NA
2723,NA,NeuralNetworks,NA
2724,100GB,NeuralNetworks,NA
2725,100TB,NeuralNetworks,NA
2726,100MB,NeuralNetworks,Most of the time
2727,10TB,NeuralNetworks,NA
2728,NA,NeuralNetworks,NA
2729,NA,NeuralNetworks,NA
2730,1GB,NeuralNetworks,NA
2731,NA,NeuralNetworks,NA
2732,NA,NeuralNetworks,NA
2733,10GB,NeuralNetworks,Most of the time
2734,100GB,NeuralNetworks,NA
2735,1GB,NeuralNetworks,Often
2736,NA,NeuralNetworks,NA
2737,10MB,NeuralNetworks,NA
2738,100TB,NeuralNetworks,NA
2739,NA,NeuralNetworks,NA
2740,1GB,NeuralNetworks,Often
2741,100GB,NeuralNetworks,NA
2742,NA,NeuralNetworks,NA
2743,NA,NeuralNetworks,NA
2744,10GB,NeuralNetworks,Often
2745,100GB,NeuralNetworks,Often
2746,NA,NeuralNetworks,NA
2747,10GB,NeuralNetworks,NA
2748,100PB,NeuralNetworks,Often
2749,NA,NeuralNetworks,NA
2750,1GB,NeuralNetworks,NA
2751,NA,NeuralNetworks,NA
2752,NA,NeuralNetworks,NA
2753,NA,NeuralNetworks,NA
2754,1GB,NeuralNetworks,NA
2755,NA,NeuralNetworks,NA
2756,NA,NeuralNetworks,NA
2757,100GB,NeuralNetworks,NA
2758,NA,NeuralNetworks,NA
2759,NA,NeuralNetworks,NA
2760,NA,NeuralNetworks,NA
2761,NA,NeuralNetworks,NA
2762,100GB,NeuralNetworks,Most of the time
2763,NA,NeuralNetworks,NA
2764,10GB,NeuralNetworks,NA
2765,10TB,NeuralNetworks,NA
2766,NA,NeuralNetworks,NA
2767,NA,NeuralNetworks,NA
2768,1TB,NeuralNetworks,NA
2769,NA,NeuralNetworks,NA
2770,NA,NeuralNetworks,NA
2771,NA,NeuralNetworks,NA
2772,NA,NeuralNetworks,NA
2773,10GB,NeuralNetworks,NA
2774,1GB,NeuralNetworks,Often
2775,10MB,NeuralNetworks,Sometimes
2776,NA,NeuralNetworks,Sometimes
2777,1GB,NeuralNetworks,NA
2778,100GB,NeuralNetworks,Most of the time
2779,NA,NeuralNetworks,NA
2780,1TB,NeuralNetworks,NA
2781,10MB,NeuralNetworks,NA
2782,100MB,NeuralNetworks,NA
2783,1GB,NeuralNetworks,Most of the time
2784,10MB,NeuralNetworks,Often
2785,1GB,NeuralNetworks,Often
2786,NA,NeuralNetworks,NA
2787,NA,NeuralNetworks,NA
2788,10GB,NeuralNetworks,NA
2789,NA,NeuralNetworks,NA
2790,10MB,NeuralNetworks,Sometimes
2791,100TB,NeuralNetworks,NA
2792,NA,NeuralNetworks,NA
2793,NA,NeuralNetworks,NA
2794,NA,NeuralNetworks,NA
2795,1GB,NeuralNetworks,NA
2796,10MB,NeuralNetworks,NA
2797,1GB,NeuralNetworks,NA
2798,10GB,NeuralNetworks,Sometimes
2799,100GB,NeuralNetworks,Sometimes
2800,10GB,NeuralNetworks,NA
2801,NA,NeuralNetworks,NA
2802,10GB,NeuralNetworks,NA
2803,NA,NeuralNetworks,NA
2804,NA,NeuralNetworks,NA
2805,100GB,NeuralNetworks,NA
2806,NA,NeuralNetworks,NA
2807,NA,NeuralNetworks,NA
2808,100GB,NeuralNetworks,NA
2809,100MB,NeuralNetworks,NA
2810,NA,NeuralNetworks,NA
2811,NA,NeuralNetworks,NA
2812,NA,NeuralNetworks,NA
2813,NA,NeuralNetworks,NA
2814,1GB,NeuralNetworks,NA
2815,NA,NeuralNetworks,NA
2816,NA,NeuralNetworks,NA
2817,10GB,NeuralNetworks,Often
2818,<1MB,NeuralNetworks,NA
2819,NA,NeuralNetworks,NA
2820,NA,NeuralNetworks,NA
2821,NA,NeuralNetworks,NA
2822,1GB,NeuralNetworks,NA
2823,NA,NeuralNetworks,NA
2824,100MB,NeuralNetworks,Sometimes
2825,NA,NeuralNetworks,NA
2826,NA,NeuralNetworks,NA
2827,10GB,NeuralNetworks,Often
2828,NA,NeuralNetworks,NA
2829,1GB,NeuralNetworks,NA
2830,10MB,NeuralNetworks,Often
2831,1GB,NeuralNetworks,NA
2832,10GB,NeuralNetworks,NA
2833,NA,NeuralNetworks,NA
2834,100GB,NeuralNetworks,NA
2835,1GB,NeuralNetworks,Sometimes
2836,NA,NeuralNetworks,NA
2837,NA,NeuralNetworks,NA
2838,100MB,NeuralNetworks,Sometimes
2839,10MB,NeuralNetworks,Most of the time
2840,NA,NeuralNetworks,NA
2841,1GB,NeuralNetworks,NA
2842,100GB,NeuralNetworks,Most of the time
2843,1GB,NeuralNetworks,NA
2844,10GB,NeuralNetworks,NA
2845,NA,NeuralNetworks,NA
2846,NA,NeuralNetworks,NA
2847,NA,NeuralNetworks,NA
2848,1TB,NeuralNetworks,Often
2849,NA,NeuralNetworks,NA
2850,10TB,NeuralNetworks,NA
2851,NA,NeuralNetworks,NA
2852,10MB,NeuralNetworks,NA
2853,1GB,NeuralNetworks,NA
2854,10GB,NeuralNetworks,NA
2855,NA,NeuralNetworks,Often
2856,1GB,NeuralNetworks,Often
2857,100GB,NeuralNetworks,NA
2858,100MB,NeuralNetworks,NA
2859,NA,NeuralNetworks,NA
2860,100MB,NeuralNetworks,NA
2861,1GB,NeuralNetworks,NA
2862,10TB,NeuralNetworks,Most of the time
2863,10GB,NeuralNetworks,Most of the time
2864,NA,NeuralNetworks,NA
2865,100MB,NeuralNetworks,NA
2866,NA,NeuralNetworks,NA
2867,NA,NeuralNetworks,NA
2868,NA,NeuralNetworks,NA
2869,10GB,NeuralNetworks,NA
2870,NA,NeuralNetworks,NA
2871,10GB,NeuralNetworks,NA
2872,1GB,NeuralNetworks,NA
2873,NA,NeuralNetworks,NA
2874,1GB,NeuralNetworks,Most of the time
2875,10GB,NeuralNetworks,Most of the time
2876,NA,NeuralNetworks,NA
2877,10GB,NeuralNetworks,NA
2878,NA,NeuralNetworks,NA
2879,1GB,NeuralNetworks,NA
2880,100MB,NeuralNetworks,NA
2881,NA,NeuralNetworks,NA
2882,10GB,NeuralNetworks,NA
2883,NA,NeuralNetworks,Often
2884,100GB,NeuralNetworks,Most of the time
2885,10MB,NeuralNetworks,NA
2886,NA,NeuralNetworks,NA
2887,10MB,NeuralNetworks,NA
2888,NA,NeuralNetworks,NA
2889,100MB,NeuralNetworks,NA
2890,1GB,NeuralNetworks,NA
2891,NA,NeuralNetworks,NA
2892,NA,NeuralNetworks,NA
2893,NA,NeuralNetworks,NA
2894,NA,NeuralNetworks,NA
2895,NA,NeuralNetworks,NA
1,10GB,PCA,Often
2,1GB,PCA,NA
3,100GB,PCA,NA
4,1GB,PCA,Often
5,1GB,PCA,NA
6,100MB,PCA,NA
7,1TB,PCA,Sometimes
8,10TB,PCA,Often
9,NA,PCA,NA
10,10GB,PCA,Most of the time
11,1GB,PCA,Most of the time
12,100GB,PCA,NA
13,NA,PCA,NA
14,1GB,PCA,NA
15,10GB,PCA,NA
16,100MB,PCA,NA
17,100GB,PCA,NA
18,1GB,PCA,Sometimes
19,1GB,PCA,Often
20,10GB,PCA,Often
21,100MB,PCA,Rarely
22,1TB,PCA,NA
23,100MB,PCA,NA
24,1GB,PCA,Often
25,10MB,PCA,NA
26,10GB,PCA,NA
27,100TB,PCA,NA
28,100GB,PCA,NA
29,100GB,PCA,Sometimes
30,100GB,PCA,Most of the time
31,100MB,PCA,Most of the time
32,1GB,PCA,NA
33,100MB,PCA,Most of the time
34,100MB,PCA,Rarely
35,1GB,PCA,NA
36,10GB,PCA,NA
37,1MB,PCA,NA
38,1GB,PCA,Sometimes
39,100GB,PCA,NA
40,100GB,PCA,Often
41,100GB,PCA,Most of the time
42,1TB,PCA,Sometimes
43,1GB,PCA,Often
44,10GB,PCA,NA
45,NA,PCA,NA
46,<1MB,PCA,NA
47,10GB,PCA,NA
48,1GB,PCA,NA
49,10GB,PCA,NA
50,1GB,PCA,NA
51,10GB,PCA,Most of the time
52,1GB,PCA,NA
53,10MB,PCA,NA
54,10GB,PCA,Often
55,10GB,PCA,Often
56,1GB,PCA,Often
57,NA,PCA,NA
58,NA,PCA,NA
59,10TB,PCA,NA
60,100GB,PCA,NA
61,1TB,PCA,NA
62,10MB,PCA,NA
63,1GB,PCA,Most of the time
64,10MB,PCA,NA
65,1MB,PCA,NA
66,10GB,PCA,NA
67,1GB,PCA,NA
68,NA,PCA,Often
69,10GB,PCA,Often
70,10GB,PCA,Most of the time
71,10MB,PCA,NA
72,100GB,PCA,Sometimes
73,10GB,PCA,NA
74,10GB,PCA,Sometimes
75,100MB,PCA,NA
76,1TB,PCA,Often
77,1GB,PCA,Often
78,100GB,PCA,NA
79,10GB,PCA,NA
80,1GB,PCA,NA
81,1GB,PCA,NA
82,100MB,PCA,NA
83,10GB,PCA,NA
84,1MB,PCA,NA
85,100GB,PCA,NA
86,100GB,PCA,Often
87,1PB,PCA,NA
88,1MB,PCA,Most of the time
89,100MB,PCA,NA
90,10GB,PCA,Most of the time
91,1GB,PCA,NA
92,1TB,PCA,NA
93,100MB,PCA,NA
94,10TB,PCA,Often
95,NA,PCA,NA
96,1GB,PCA,NA
97,10GB,PCA,Sometimes
98,10GB,PCA,NA
99,1GB,PCA,Most of the time
100,10GB,PCA,NA
101,10MB,PCA,NA
102,10MB,PCA,NA
103,100GB,PCA,NA
104,100MB,PCA,NA
105,100MB,PCA,Rarely
106,1TB,PCA,NA
107,100MB,PCA,NA
108,10MB,PCA,NA
109,10GB,PCA,NA
110,10MB,PCA,NA
111,100GB,PCA,NA
112,10MB,PCA,Often
113,100MB,PCA,NA
114,10MB,PCA,NA
115,100GB,PCA,Sometimes
116,100MB,PCA,NA
117,100MB,PCA,NA
118,NA,PCA,NA
119,1GB,PCA,NA
120,100GB,PCA,Sometimes
121,100GB,PCA,Sometimes
122,100TB,PCA,Most of the time
123,100GB,PCA,NA
124,100MB,PCA,Often
125,<1MB,PCA,Often
126,100GB,PCA,Sometimes
127,10GB,PCA,NA
128,100MB,PCA,NA
129,1GB,PCA,NA
130,NA,PCA,NA
131,10MB,PCA,NA
132,10MB,PCA,Rarely
133,1TB,PCA,Most of the time
134,100MB,PCA,Often
135,1GB,PCA,Sometimes
136,10GB,PCA,NA
137,NA,PCA,Sometimes
138,1GB,PCA,NA
139,100GB,PCA,NA
140,1GB,PCA,NA
141,1GB,PCA,Most of the time
142,NA,PCA,Often
143,NA,PCA,NA
144,1GB,PCA,NA
145,100MB,PCA,Often
146,NA,PCA,NA
147,100MB,PCA,NA
148,1GB,PCA,NA
149,1GB,PCA,Sometimes
150,1GB,PCA,NA
151,100MB,PCA,Most of the time
152,100TB,PCA,NA
153,100MB,PCA,NA
154,1GB,PCA,NA
155,10GB,PCA,Often
156,10MB,PCA,NA
157,10GB,PCA,NA
158,100MB,PCA,Often
159,100GB,PCA,NA
160,NA,PCA,NA
161,1GB,PCA,NA
162,1GB,PCA,NA
163,100GB,PCA,NA
164,1GB,PCA,NA
165,NA,PCA,Rarely
166,10GB,PCA,NA
167,1GB,PCA,Often
168,100MB,PCA,Most of the time
169,100MB,PCA,Often
170,100MB,PCA,Often
171,10MB,PCA,NA
172,10MB,PCA,Often
173,1GB,PCA,Often
174,10GB,PCA,Most of the time
175,NA,PCA,NA
176,10GB,PCA,Sometimes
177,1GB,PCA,NA
178,100GB,PCA,NA
179,10GB,PCA,NA
180,NA,PCA,Sometimes
181,1GB,PCA,NA
182,100MB,PCA,Sometimes
183,10MB,PCA,Often
184,10GB,PCA,Sometimes
185,10GB,PCA,Often
186,NA,PCA,NA
187,1GB,PCA,Most of the time
188,100MB,PCA,NA
189,NA,PCA,Often
190,10GB,PCA,NA
191,1GB,PCA,Sometimes
192,1GB,PCA,NA
193,10GB,PCA,NA
194,10GB,PCA,NA
195,1GB,PCA,Rarely
196,100GB,PCA,Often
197,100TB,PCA,Often
198,100MB,PCA,NA
199,1MB,PCA,NA
200,1GB,PCA,NA
201,1GB,PCA,NA
202,10GB,PCA,NA
203,100MB,PCA,NA
204,10GB,PCA,NA
205,1GB,PCA,NA
206,10GB,PCA,Sometimes
207,10GB,PCA,Often
208,100MB,PCA,NA
209,10TB,PCA,NA
210,10GB,PCA,Often
211,10GB,PCA,Most of the time
212,100TB,PCA,NA
213,100MB,PCA,Sometimes
214,100MB,PCA,NA
215,10GB,PCA,NA
216,1GB,PCA,Often
217,100MB,PCA,NA
218,1GB,PCA,NA
219,100MB,PCA,Sometimes
220,1GB,PCA,Often
221,1TB,PCA,NA
222,10GB,PCA,Sometimes
223,100GB,PCA,NA
224,10GB,PCA,NA
225,100TB,PCA,NA
226,10GB,PCA,NA
227,1MB,PCA,NA
228,1TB,PCA,Most of the time
229,100GB,PCA,NA
230,10GB,PCA,NA
231,10GB,PCA,Often
232,10MB,PCA,Often
233,1MB,PCA,Often
234,100GB,PCA,NA
235,100TB,PCA,Most of the time
236,10GB,PCA,Often
237,1TB,PCA,Often
238,100MB,PCA,Often
239,10TB,PCA,Often
240,10GB,PCA,NA
241,10TB,PCA,NA
242,<1MB,PCA,NA
243,1TB,PCA,NA
244,NA,PCA,Sometimes
245,100GB,PCA,Sometimes
246,100MB,PCA,NA
247,NA,PCA,NA
248,10GB,PCA,Often
249,NA,PCA,NA
250,NA,PCA,NA
251,1GB,PCA,NA
252,100MB,PCA,NA
253,100MB,PCA,NA
254,100GB,PCA,NA
255,100MB,PCA,NA
256,1TB,PCA,Often
257,1GB,PCA,Most of the time
258,1GB,PCA,NA
259,NA,PCA,NA
260,1GB,PCA,NA
261,10GB,PCA,NA
262,100MB,PCA,NA
263,10MB,PCA,NA
264,100MB,PCA,Often
265,1GB,PCA,NA
266,10TB,PCA,Most of the time
267,100MB,PCA,NA
268,100GB,PCA,NA
269,1TB,PCA,NA
270,1MB,PCA,NA
271,1TB,PCA,NA
272,10MB,PCA,Most of the time
273,10TB,PCA,NA
274,10MB,PCA,Sometimes
275,NA,PCA,NA
276,1GB,PCA,NA
277,1TB,PCA,Sometimes
278,10GB,PCA,NA
279,10GB,PCA,Sometimes
280,10GB,PCA,Most of the time
281,10GB,PCA,NA
282,1GB,PCA,NA
283,10GB,PCA,NA
284,10MB,PCA,NA
285,100TB,PCA,NA
286,NA,PCA,NA
287,10GB,PCA,NA
288,100GB,PCA,NA
289,1GB,PCA,NA
290,10GB,PCA,NA
291,10GB,PCA,Most of the time
292,10GB,PCA,NA
293,<1MB,PCA,Sometimes
294,NA,PCA,NA
295,100TB,PCA,NA
296,1GB,PCA,Often
297,10GB,PCA,Often
298,10GB,PCA,Often
299,1GB,PCA,Most of the time
300,1MB,PCA,NA
301,10GB,PCA,NA
302,100MB,PCA,Often
303,10MB,PCA,NA
304,100GB,PCA,NA
305,1GB,PCA,Often
306,10GB,PCA,Sometimes
307,1GB,PCA,Most of the time
308,10GB,PCA,Often
309,100MB,PCA,Most of the time
310,<1MB,PCA,Often
311,10TB,PCA,NA
312,1GB,PCA,Often
313,10GB,PCA,Often
314,100MB,PCA,Most of the time
315,1TB,PCA,NA
316,10GB,PCA,Often
317,1GB,PCA,Often
318,10MB,PCA,NA
319,100MB,PCA,Most of the time
320,100MB,PCA,Often
321,NA,PCA,NA
322,10GB,PCA,NA
323,100MB,PCA,NA
324,10MB,PCA,Often
325,10GB,PCA,Sometimes
326,100MB,PCA,Sometimes
327,100MB,PCA,Most of the time
328,10GB,PCA,NA
329,10MB,PCA,NA
330,1GB,PCA,NA
331,1GB,PCA,NA
332,NA,PCA,NA
333,1GB,PCA,Most of the time
334,10MB,PCA,NA
335,10GB,PCA,Sometimes
336,1GB,PCA,NA
337,100GB,PCA,NA
338,100MB,PCA,NA
339,1GB,PCA,NA
340,100MB,PCA,Sometimes
341,100MB,PCA,NA
342,100GB,PCA,Sometimes
343,10GB,PCA,Rarely
344,100MB,PCA,Most of the time
345,100GB,PCA,Often
346,1GB,PCA,NA
347,10GB,PCA,Often
348,1GB,PCA,NA
349,100GB,PCA,NA
350,1GB,PCA,Most of the time
351,10GB,PCA,Most of the time
352,1GB,PCA,NA
353,10TB,PCA,NA
354,100GB,PCA,NA
355,100MB,PCA,NA
356,100MB,PCA,NA
357,1GB,PCA,NA
358,10MB,PCA,NA
359,1GB,PCA,Most of the time
360,NA,PCA,NA
361,100GB,PCA,NA
362,100GB,PCA,Sometimes
363,1GB,PCA,NA
364,NA,PCA,NA
365,100GB,PCA,NA
366,1GB,PCA,NA
367,1GB,PCA,NA
368,10GB,PCA,NA
369,1TB,PCA,NA
370,100MB,PCA,NA
371,10MB,PCA,NA
372,<1MB,PCA,Sometimes
373,1TB,PCA,Often
374,1GB,PCA,NA
375,10GB,PCA,NA
376,1TB,PCA,Often
377,1GB,PCA,NA
378,100MB,PCA,NA
379,100MB,PCA,Most of the time
380,10MB,PCA,NA
381,100MB,PCA,NA
382,10GB,PCA,NA
383,10GB,PCA,NA
384,1GB,PCA,Often
385,100GB,PCA,Sometimes
386,1GB,PCA,NA
387,1GB,PCA,NA
388,10GB,PCA,NA
389,1TB,PCA,NA
390,100MB,PCA,Often
391,10GB,PCA,Sometimes
392,100GB,PCA,Sometimes
393,100MB,PCA,Often
394,10GB,PCA,Rarely
395,NA,PCA,NA
396,1GB,PCA,Sometimes
397,100GB,PCA,NA
398,1GB,PCA,NA
399,100GB,PCA,Most of the time
400,1GB,PCA,Most of the time
401,10GB,PCA,Sometimes
402,1TB,PCA,NA
403,1GB,PCA,NA
404,1GB,PCA,NA
405,1GB,PCA,Most of the time
406,10GB,PCA,NA
407,1GB,PCA,Sometimes
408,1MB,PCA,NA
409,100MB,PCA,NA
410,10GB,PCA,Sometimes
411,10MB,PCA,NA
412,100MB,PCA,Often
413,1GB,PCA,Most of the time
414,10MB,PCA,NA
415,100MB,PCA,Sometimes
416,10GB,PCA,Often
417,10GB,PCA,NA
418,10GB,PCA,NA
419,1GB,PCA,Sometimes
420,100MB,PCA,Most of the time
421,10MB,PCA,NA
422,100MB,PCA,Sometimes
423,1TB,PCA,Often
424,1GB,PCA,Often
425,100MB,PCA,NA
426,10MB,PCA,NA
427,100GB,PCA,NA
428,1GB,PCA,NA
429,NA,PCA,NA
430,10GB,PCA,NA
431,NA,PCA,Sometimes
432,10GB,PCA,NA
433,10MB,PCA,Sometimes
434,1GB,PCA,NA
435,<1MB,PCA,Often
436,1GB,PCA,Often
437,1EB,PCA,NA
438,100MB,PCA,Most of the time
439,NA,PCA,NA
440,NA,PCA,NA
441,1GB,PCA,Sometimes
442,100MB,PCA,Most of the time
443,1TB,PCA,NA
444,10GB,PCA,NA
445,1TB,PCA,NA
446,10GB,PCA,NA
447,100MB,PCA,Often
448,100MB,PCA,NA
449,1TB,PCA,Often
450,10GB,PCA,NA
451,10GB,PCA,NA
452,10GB,PCA,NA
453,1GB,PCA,NA
454,NA,PCA,Rarely
455,100MB,PCA,NA
456,1GB,PCA,NA
457,100GB,PCA,NA
458,10GB,PCA,Often
459,1GB,PCA,NA
460,10GB,PCA,NA
461,10GB,PCA,NA
462,100MB,PCA,Often
463,1GB,PCA,Sometimes
464,NA,PCA,NA
465,10GB,PCA,NA
466,1GB,PCA,Rarely
467,1TB,PCA,NA
468,1GB,PCA,Most of the time
469,100MB,PCA,Often
470,10GB,PCA,Sometimes
471,1TB,PCA,Most of the time
472,10MB,PCA,Rarely
473,NA,PCA,NA
474,100GB,PCA,NA
475,10GB,PCA,NA
476,100GB,PCA,NA
477,10GB,PCA,NA
478,10GB,PCA,NA
479,10GB,PCA,NA
480,100MB,PCA,Rarely
481,100MB,PCA,NA
482,1GB,PCA,Sometimes
483,1GB,PCA,Most of the time
484,1GB,PCA,Most of the time
485,10GB,PCA,Often
486,100GB,PCA,NA
487,1MB,PCA,Rarely
488,10TB,PCA,NA
489,100GB,PCA,Often
490,100MB,PCA,NA
491,100GB,PCA,NA
492,100MB,PCA,Sometimes
493,10GB,PCA,Often
494,1TB,PCA,NA
495,1GB,PCA,NA
496,1GB,PCA,Sometimes
497,100MB,PCA,NA
498,10GB,PCA,NA
499,1GB,PCA,Often
500,1GB,PCA,Most of the time
501,NA,PCA,Often
502,100MB,PCA,NA
503,10GB,PCA,NA
504,<1MB,PCA,Often
